epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,647.442,1.61966,8.08339,1.32975,0.32363,0.21807,0.19604,0.12543,0.48901,3.07605,0.4233,0.00333125,0.00333125,0.00333125
2,1154.6,1.72294,4.51429,1.39639,0.47423,0.25839,0.22168,0.12831,0.56684,7.92401,0.49937,0.00665807,0.00665807,0.00665807
3,1696.27,1.94486,3.43482,1.58403,0.52419,0.23738,0.23108,0.12358,0.60099,3.01254,0.5349,0.00995889,0.00995889,0.00995889
4,2207.9,1.9643,3.11811,1.6506,0.44695,0.29685,0.27438,0.15206,0.55707,4.02952,0.51276,0.00991232,0.00991232,0.00991232
5,2657.7,1.81788,2.77836,1.56219,0.51276,0.39129,0.3785,0.22771,0.51122,2.04011,0.46689,0.00984449,0.00984449,0.00984449
6,3107.72,1.69262,2.51179,1.4746,0.47097,0.45132,0.43172,0.27364,0.46408,2.01225,0.45326,0.00975773,0.00975773,0.00975773
7,3556.66,1.6311,2.38517,1.43907,0.57293,0.4398,0.46488,0.29273,0.4514,2.19795,0.4449,0.00965239,0.00965239,0.00965239
8,4004.95,1.56465,2.23895,1.38741,0.60651,0.48196,0.50471,0.33508,0.43248,2.32991,0.43204,0.00952889,0.00952889,0.00952889
9,4453.25,1.52412,2.13668,1.36727,0.54923,0.51281,0.52812,0.34965,0.41506,3.22494,0.419,0.00938772,0.00938772,0.00938772
10,4900.82,1.47617,2.05394,1.33212,0.68232,0.52969,0.5966,0.41481,0.39683,2.01033,0.40639,0.00922942,0.00922942,0.00922942
11,5349.31,1.44058,1.96633,1.31323,0.67982,0.54959,0.62115,0.43142,0.38426,2.38796,0.39786,0.00905463,0.00905463,0.00905463
12,5796.89,1.41171,1.92159,1.299,0.7142,0.56568,0.6339,0.46096,0.36301,2.2038,0.3887,0.00886404,0.00886404,0.00886404
13,6244.32,1.3751,1.82099,1.26286,0.78004,0.59456,0.68014,0.48811,0.36087,1.18884,0.3827,0.00865839,0.00865839,0.00865839
14,6691.96,1.34546,1.76305,1.25368,0.77304,0.60428,0.69077,0.50368,0.34864,1.10567,0.37725,0.00843851,0.00843851,0.00843851
15,7139.34,1.3281,1.68758,1.24013,0.82358,0.58402,0.6953,0.5099,0.34398,1.38803,0.37342,0.00820525,0.00820525,0.00820525
16,7586.09,1.29813,1.66166,1.2291,0.82977,0.61982,0.72041,0.53483,0.34007,1.18408,0.37132,0.00795954,0.00795954,0.00795954
17,8032.93,1.3045,1.64233,1.22899,0.79494,0.65887,0.73331,0.5404,0.3331,1.03707,0.36705,0.00770234,0.00770234,0.00770234
18,8481.5,1.27168,1.60638,1.20584,0.8346,0.64878,0.74224,0.55719,0.32532,1.02286,0.36169,0.00743468,0.00743468,0.00743468
19,8929.22,1.24542,1.52719,1.19782,0.83466,0.65271,0.75383,0.56855,0.31459,0.99549,0.35774,0.00715761,0.00715761,0.00715761
20,9375.69,1.23138,1.49678,1.18722,0.83545,0.66832,0.76449,0.58,0.30958,0.93096,0.35544,0.00687222,0.00687222,0.00687222
21,9823.75,1.20435,1.46417,1.17351,0.82978,0.68801,0.77099,0.58629,0.3025,1.11573,0.34957,0.00657963,0.00657963,0.00657963
22,10273.9,1.19232,1.42069,1.16703,0.86612,0.68534,0.78119,0.59788,0.30325,1.05807,0.3486,0.00628101,0.00628101,0.00628101
23,10727.1,1.18594,1.41257,1.16392,0.84348,0.70317,0.7841,0.60295,0.29875,1.00605,0.34612,0.00597754,0.00597754,0.00597754
24,11172.8,1.1652,1.35267,1.14537,0.84906,0.70105,0.79179,0.60652,0.29682,0.96652,0.34424,0.0056704,0.0056704,0.0056704
25,11620.4,1.16227,1.34438,1.14262,0.84224,0.71686,0.79397,0.61449,0.29332,1.04488,0.34121,0.00536081,0.00536081,0.00536081
26,12069.9,1.12981,1.30374,1.1284,0.86154,0.70434,0.79601,0.61942,0.28921,1.06955,0.33886,0.00505,0.00505,0.00505
27,12518.5,1.11122,1.26968,1.12098,0.86054,0.72044,0.80129,0.6259,0.28781,1.06881,0.338,0.00473919,0.00473919,0.00473919
28,12967.7,1.09141,1.21582,1.10675,0.85579,0.73165,0.80816,0.63354,0.28387,0.92597,0.33568,0.0044296,0.0044296,0.0044296
29,13416.1,1.10418,1.224,1.1109,0.8711,0.73233,0.8133,0.63944,0.28067,0.86671,0.33346,0.00412246,0.00412246,0.00412246
30,13863.6,1.06853,1.18295,1.09802,0.87995,0.73266,0.81828,0.64482,0.27884,0.8383,0.33168,0.00381899,0.00381899,0.00381899
31,14312.2,1.05677,1.15087,1.08299,0.87012,0.74517,0.82173,0.6467,0.27747,0.83936,0.33086,0.00352037,0.00352037,0.00352037
32,14760.6,1.03922,1.12802,1.08276,0.86654,0.74941,0.82582,0.64983,0.27535,0.83823,0.32959,0.00322778,0.00322778,0.00322778
33,15207.6,1.02141,1.10279,1.07026,0.88044,0.74515,0.82765,0.65247,0.27318,0.85789,0.3284,0.00294239,0.00294239,0.00294239
34,15654.4,1.00637,1.05681,1.0642,0.87679,0.75483,0.8295,0.65449,0.27194,0.84595,0.32729,0.00266532,0.00266532,0.00266532
35,16100.8,0.98616,1.02949,1.04557,0.87688,0.76057,0.83172,0.65766,0.27064,0.82525,0.32619,0.00239766,0.00239766,0.00239766
36,16547.6,0.9896,1.03548,1.05155,0.87616,0.76009,0.83469,0.66139,0.26926,0.82179,0.3255,0.00214046,0.00214046,0.00214046
37,16996.7,0.97041,1.01086,1.04491,0.87664,0.76161,0.83548,0.66264,0.26829,0.81278,0.32494,0.00189475,0.00189475,0.00189475
38,17445.7,0.95612,0.97827,1.03719,0.87934,0.76044,0.83653,0.66574,0.26745,0.79795,0.32455,0.00166149,0.00166149,0.00166149
39,17894.2,0.94473,0.95431,1.03011,0.89381,0.75381,0.83784,0.66812,0.2663,0.79455,0.32406,0.00144161,0.00144161,0.00144161
40,18342.2,0.93798,0.96177,1.03239,0.88017,0.7623,0.84004,0.67015,0.26572,0.77875,0.32383,0.00123596,0.00123596,0.00123596
41,18759.7,0.83317,0.78957,0.98803,0.87407,0.77002,0.84201,0.67176,0.26488,0.77592,0.32363,0.00104537,0.00104537,0.00104537
42,19176.3,0.81982,0.76516,0.98505,0.87166,0.77183,0.84285,0.67422,0.26413,0.7658,0.32339,0.000870577,0.000870577,0.000870577
43,19593.9,0.80514,0.74487,0.98055,0.87184,0.77279,0.84356,0.67451,0.26353,0.76324,0.32313,0.000712282,0.000712282,0.000712282
44,20009.5,0.79971,0.74008,0.97651,0.88198,0.76913,0.84486,0.67501,0.26296,0.76109,0.32278,0.000571106,0.000571106,0.000571106
45,20546,0.79405,0.71295,0.9683,0.88318,0.77006,0.84552,0.67603,0.26224,0.75448,0.32236,0.000447606,0.000447606,0.000447606
46,20996.8,0.78639,0.72027,0.9678,0.89102,0.7644,0.84632,0.67699,0.26221,0.7537,0.3223,0.00034227,0.00034227,0.00034227
47,21414.7,0.77875,0.707,0.96949,0.89265,0.76501,0.84755,0.67754,0.2618,0.75214,0.32205,0.000255513,0.000255513,0.000255513
48,21832.7,0.76963,0.69382,0.96211,0.88211,0.77285,0.84808,0.67867,0.26136,0.74578,0.32191,0.000187678,0.000187678,0.000187678
49,22251.3,0.77393,0.69402,0.9661,0.89717,0.76482,0.84857,0.6803,0.26106,0.74375,0.32175,0.000139032,0.000139032,0.000139032
50,22669,0.76106,0.6786,0.95227,0.88489,0.77533,0.84957,0.67989,0.26073,0.73214,0.32155,0.000109768,0.000109768,0.000109768
