epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,858.112,0.90173,0.91161,1.0199,0.87964,0.75509,0.83983,0.65427,0.28287,1.16374,0.32836,0.00333125,0.00333125,0.00333125
2,1336.31,0.99202,1.03119,1.04694,0.83551,0.6999,0.79308,0.60976,0.3044,1.21718,0.33809,0.00665807,0.00665807,0.00665807
3,1790.56,1.11079,1.23878,1.10497,0.78504,0.64476,0.73652,0.5243,0.3555,1.50925,0.36321,0.00995889,0.00995889,0.00995889
4,2245.64,1.22509,1.47206,1.1681,0.78592,0.61619,0.70499,0.50765,0.35657,1.75311,0.37058,0.00991232,0.00991232,0.00991232
5,2700.19,1.25251,1.50918,1.18162,0.80058,0.58347,0.7011,0.50118,0.36479,1.97192,0.38356,0.00984449,0.00984449,0.00984449
6,3155.11,1.23323,1.47323,1.17552,0.76855,0.62648,0.69933,0.50301,0.35761,1.62618,0.37233,0.00975773,0.00975773,0.00975773
7,3608.45,1.23655,1.46034,1.17748,0.76467,0.62389,0.70667,0.50813,0.35381,3.77541,0.37059,0.00965239,0.00965239,0.00965239
8,4061.77,1.23685,1.43748,1.17688,0.81818,0.65282,0.74413,0.54646,0.34461,1.15348,0.36937,0.00952889,0.00952889,0.00952889
9,4515.96,1.22532,1.4227,1.16748,0.80612,0.68001,0.75359,0.55189,0.33572,1.687,0.35792,0.00938772,0.00938772,0.00938772
10,4971.08,1.21696,1.39638,1.16346,0.82948,0.67996,0.77044,0.57038,0.32836,0.86614,0.35684,0.00922942,0.00922942,0.00922942
11,5427.72,1.18386,1.37383,1.14943,0.82366,0.67572,0.76594,0.56461,0.3366,1.75241,0.35834,0.00905463,0.00905463,0.00905463
